"id","title","status","media_type","duration","publish_date","tags","custom_parameters","created_at","updated_at"
"83HkU30C","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:21:00.000","2024-02-23 09:21:14.000"
"Gyq4niyz","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:20:30.000","2024-02-23 09:20:48.000"
"fBZPGzGA","HD-HLFD203602","ready","video",1650.030029296875,"2020-08-31 19:30:00.000","[""Faith"",""Bible"",""Religion"",""Thinking"",""Belief"",""Leon Fontaine"",""Series"",""seriesId_"",""Authority"",""Hebrews 1:14"",""Luke 5:17"",""Mark 5:24""]","{""rating"":""TV-G"",""networks"":""TBN, Hillsong Channel"",""share_url"":""https://share.tbn.org/GHTv/l2n35qy3"",""TBNmediaId"":""HD-HLFD203602"",""programName"":""Leon Fontaine"",""publishDate"":""August 08, 2020"",""seasonNumber"":""1"",""episodeNumber"":""203602"",""seasonEpisode"":""S1:E203602"",""watchButtonLabel"":""Start Watching"",""collectionSortField"":""TBN_OriginalAirDate"",""collectionSortOrder"":""1""}","2022-11-23 04:06:54.000","2023-01-04 05:10:09.000"
"BgrILlvo","Kerry Shook - Buried Treasure","ready","video",1649.9849853515625,"2024-06-30 13:30:00.000","[""Relationships"",""Love"",""Relationship with God"",""Forgiveness"",""Religion"",""Spiritual Growth"",""Betrayal"",""Episode"",""seriesId_6KOKLttr"",""Kerry Shook Ministries with Kerry Shook"",""Kerry Shook"",""Resentment"",""Acts 27:14-26""]","{""rating"":""TV-G"",""language"":""English"",""networks"":""TBN"",""TBNmediaId"":""HD-KS2427"",""programName"":""Kerry Shook Ministries with Kerry Shook"",""publishDate"":""June 06, 2024"",""transactionId"":""efda862f-e042-4f86-abc2-124102f1b381"",""biblicalPeople"":""Paul"",""preview_playback"":""https://cdn.jwplayer.com/manifests/BgrILlvo.m3u8"",""watchButtonLabel"":""Start Watching""}","2024-07-18 21:42:00.000","2024-07-19 20:50:00.000"
"yK8TfACX","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:20:00.000","2024-02-23 09:20:15.000"
"n01Q9deU","Centerpoint - January 17, 2024","processing","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-22 17:25:46.000","2024-02-22 17:25:57.000"
"uRnu00xw","Centerpoint - January 17, 2024","processing","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:19:30.000","2024-02-23 09:20:00.000"
"nRDeBG97","Centerpoint - January 17, 2024","processing","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:15:30.000","2024-02-23 09:16:03.000"
"sHPoO4oq","Why Am I Anxious","ready","video",1650.030029296875,"2022-01-25 10:30:00.000","[""steven furtick"",""Peace"",""Actions"",""Religion"",""Choices"",""Renewing the Mind"",""Discouragement"",""Integrity"",""Episode"",""seriesId_mT4Z2qko"",""Anxiety"",""Double-minded"",""Imagination"",""Psalm 139:23""]","{""hqme"":""true"",""rating"":""TV-G"",""networks"":""TBN"",""revShare"":""false"",""prayerFor"":""Peace"",""share_url"":""https://share.tbn.org/GHTv/e0tsfra3"",""TBNmediaId"":""HD-SF220402"",""programName"":""Steven Furtick"",""releaseDate"":""1900-01-01T00:00:00Z"",""seasonNumber"":""22"",""episodeNumber"":""38"",""biblicalPeople"":""David"",""collectionSortField"":""TBN_OriginalAirDate"",""collectionSortOrder"":""1"",""requiresSubscription"":""true""}","2022-01-26 07:57:42.000","2023-01-04 05:55:07.000"
"ZB0vwkk3","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 01:17:05.000","2024-02-23 01:17:18.000"
"JnKe5r70","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:16:00.000","2024-02-23 09:16:46.000"
"4tE5i2v8","Robots","ready","video",8.800000190734863,"2024-02-05 18:11:00.000","[""robots""]","{""programName"":"""",""transactionId"":""0c54edff-cda2-463c-bd1a-c408bdc01d5a""}","2024-02-06 08:58:21.000","2024-02-06 08:58:58.000"
"v1vDsetW","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-22 21:29:23.000","2024-02-22 21:29:31.000"
"e293ngbz","Wise Up: Wisdom is Humility","ready","video",1650.030029296875,"2020-09-16 05:30:00.000","[""Theology"",""Wisdom"",""Bible"",""Religion"",""History"",""Word of God"",""Humble"",""Series"",""seriesId_"",""Need"",""Faith Family Church"",""Mike Cameneti"",""Proverbs 16:18""]","{""rating"":""TV-PG"",""networks"":""Hillsong Channel"",""share_url"":""https://share.tbn.org/GHTv/g3d2ifhx"",""TBNmediaId"":""HD-HFFC2038"",""programName"":""Faith Family Church"",""publishDate"":""September 09, 2020"",""episodeNumber"":""2038"",""seasonEpisode"":""S2038"",""watchButtonLabel"":""Start Watching"",""collectionSortField"":""TBN_OriginalAirDate"",""collectionSortOrder"":""1""}","2022-11-23 04:12:25.000","2023-01-04 18:02:46.000"
"WMEalzuI","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:11:00.000","2024-02-23 09:11:11.000"
"zlDljo8C","Test feed","ready","video",0,"2024-01-31 15:28:00.000","[""seriesId_yryv16ln""]","{""programName"":""Test feed"",""transactionId"":""47b64f00-2f57-4935-9a52-8d5164f2abba""}","2024-02-06 05:22:06.000","2024-02-06 05:22:06.000"
"EwpIxVr1","Dr. Phil - Get Out Of My Family Tree","ready","video",2515.840087890625,"2024-02-27 06:00:00.000","[""Episode"",""Children"",""Dr. Phil"",""Marriage"",""Dr Phil Library - Fl"",""Family"",""Relationships"",""Communication"",""Manipulation"",""Mother""]","{""box"":"""",""cast"":"""",""director"":"""",""revShare"":"""",""share_url"":""https://share2.meritplus.com/U6co/kledwoxj"",""TBNmediaId"":""MS-DPFJAIL_919"",""contentType"":""Episode"",""programName"":""Dr Phil Library - Fl"",""multiSelect2"":""yes"",""seasonNumber"":"""",""episodeNumber"":"""",""seasonEpisode"":""S E"",""transactionId"":""461a2d7e-e47e-4fc4-8f8e-e9f92ff19e06""}","2024-04-12 13:34:37.000","2024-04-12 14:20:59.000"
"UjXpPmIr","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:10:30.000","2024-02-23 09:10:38.000"
"ALmDf3Z3","Crime Stories with Nancy Grace - Students Butchered While Kohberger ""Watching Moon & Stars""","ready","video",2578.902099609375,"2024-04-18 22:00:00.000","[""Episode"",""Crime Stories with Nancy Grace"",""seriesId_DaxyOwLx"",""Crime"",""Accountability"",""Justice"",""Injustice"",""Nancy Grace"",""Murder"",""Youth""]","{""cast"":"""",""rating"":""TV-G"",""director"":"""",""revShare"":"""",""share_url"":""https://app-dev.meritplus.com/RsRW/j8e9n71o"",""TBNmediaId"":""MS-NGCS24-0418"",""contentType"":""Episode"",""programName"":""Crime Stories with Nancy Grace"",""seasonNumber"":""2"",""episodeNumber"":""13"",""seasonEpisode"":""S2 E13"",""transactionId"":""de6b2bac-2b04-4c96-96e3-c2f1ba79fb47"",""jwplayerSeriesId"":"""",""original_mediaid"":""iUf30983"",""watchButtonLabel"":""Watch Now""}","2024-04-24 20:01:41.000","2024-08-05 17:02:14.000"
"b3k7dbJz","Centerpoint - January 17, 2024","ready","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:12:30.000","2024-02-23 09:12:52.000"
"QhtLPXd9","Why the Words ""I'm Sorry"" Are Highly Overrated Part 2","ready","video",1650.030029296875,"2021-07-13 16:00:00.000","[""Relationships"",""Prayer"",""Forgiveness"",""Religion"",""Music"",""Hurting"",""Episode"",""seriesId_rsWX7hLQ"",""Dr. Robert Jeffress"",""Robert Jeffress"",""Praise & Worship"",""1 John 1:8-9"",""Psalm 32:1-5""]","{""hqme"":""true"",""music"":""Praise & Worship"",""rating"":""TV-G"",""networks"":""TBN"",""revShare"":""false"",""share_url"":""https://share.tbn.org/GHTv/1kov32ve"",""TBNmediaId"":""HD-RJPP212803"",""programName"":""Dr. Robert Jeffress"",""releaseDate"":""2021-06-30T20:19:00Z"",""seasonNumber"":""21"",""artistandSong"":""First Baptist Dallas Choir and Orchestra,  Unto The Lamb"",""episodeNumber"":""323"",""collectionSortField"":""TBN_OriginalAirDate"",""collectionSortOrder"":""1"",""requiresSubscription"":""true""}","2021-09-18 17:22:41.000","2023-01-04 12:53:10.000"
"q8gPOSxC","VT 2023 Grand Forks","ready","video",5248.06494140625,"2024-09-18 00:24:00.000","[""inActive"",""PBR"",""Sports"",""Bull-Riding"",""Competition"",""Cowboy"",""Extreme-Sports"",""Professional-Bull-Riding"",""Western-Athletes"",""Western-Lifestyle"",""Western-Sports"",""VT"",""2023"",""Grand Forks""]","{""cast"":"""",""director"":"""",""networks"":""PBR"",""revShare"":"""",""TBNmediaId"":""670359E8"",""contentType"":"""",""programName"":"""",""seasonNumber"":""2023"",""episodeNumber"":""37"",""seasonEpisode"":""S2023 E37"",""transactionId"":""03739d49-ef58-4079-9199-bb73cfb8cd53""}","2024-09-17 18:41:23.471","2024-09-17 20:47:01.000"
"zSVrCOR7","Centerpoint - January 17, 2024","processing","video",32.599998474121094,"2024-01-18 00:30:00.000","[""Movie"",""Morning on Merit Street""]","{""Host"":""Mike Huckabee"",""Genre"":""Religion;Talk Show"",""TBNmediaId"":""HD-MBS10006"",""EpisodeNumber"":""4"",""programe_name"":"""",""transactionId"":""32901945-5372-4466-abeb-6a94a412b79b""}","2024-02-23 09:10:00.000","2024-02-23 09:10:07.000"
"Criqd1Xz","Dr. Phil Primetime - Exclusive: Cannabis Induced Psychosis: Bryn Spejcher Speaks Out","ready","video",2519.80908203125,"2024-04-23 00:00:00.000","[""Episode"",""Dr. Phil Primetime"",""seriesId_ymL1Ttch"",""Crime"",""Drugs"",""Personal Story"",""Law"",""Truth"",""Murder"",""Counsel"",""Phil McGraw"",""Talk Show"",""Grief""]","{""cast"":"""",""rating"":""TV-G"",""director"":"""",""revShare"":"""",""share_url"":""https://app-dev.meritplus.com/RsRW/p15ha3l5"",""TBNmediaId"":""MS-DPPT22401"",""contentType"":""Episode"",""programName"":""Dr. Phil Primetime"",""seasonNumber"":""1"",""episodeNumber"":""15"",""seasonEpisode"":""S1 E15"",""transactionId"":""114a39fa-272a-4148-8f43-2678d0314522"",""original_mediaid"":""7C6NHyrU"",""watchButtonLabel"":""Watch Now""}","2024-04-24 20:03:33.000","2024-08-05 16:59:50.000"
